date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:17	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/contact	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/contact.22b.delayed	(from https://www.mytrailmaps.net/Rocky-Ridge-Off-Road-Park/)
23:00:17	0/-1	---M--	301	error ('')			https://www.e-junkie.com/apple-touch-iconpng	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.e-junkie.com/apple-touch-iconpng.22c.delayed	(from https://www.mytrailmaps.net/Southington-Off-Road-Park/)
23:00:17	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/maps	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/maps.22d.delayed	(from https://www.mytrailmaps.net/Southington-Off-Road-Park/)
23:00:17	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/contact	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/contact.22e.delayed	(from https://www.mytrailmaps.net/Southington-Off-Road-Park/)
23:00:17	0/-1	---M--	301	error ('')			https://www.e-junkie.com/apple-touch-iconpng	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.e-junkie.com/apple-touch-iconpng.22f.delayed	(from https://www.mytrailmaps.net/Spearhead-Stone-Mountain/)
23:00:17	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/contact	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/contact.230.delayed	(from https://www.mytrailmaps.net/Spearhead-Stone-Mountain/)
23:00:17	0/-1	---M--	301	error ('')			https://www.e-junkie.com/apple-touch-iconpng	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.e-junkie.com/apple-touch-iconpng.231.delayed	(from https://www.mytrailmaps.net/Spearhead-Trails-Coal-Canyon/)
23:00:17	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/contact	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/contact.232.delayed	(from https://www.mytrailmaps.net/Spearhead-Trails-Coal-Canyon/)
23:00:17	0/-1	---M--	301	error ('')			https://www.e-junkie.com/apple-touch-iconpng	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.e-junkie.com/apple-touch-iconpng.233.delayed	(from https://www.mytrailmaps.net/Spearhead-Trails-Jawbone-and-Coal-Canyon-at-Jewell-Valley/)
23:00:17	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/contact	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/contact.234.delayed	(from https://www.mytrailmaps.net/Spearhead-Trails-Jawbone-and-Coal-Canyon-at-Jewell-Valley/)
23:00:17	0/-1	---M--	301	error ('')			https://www.e-junkie.com/apple-touch-iconpng	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.e-junkie.com/apple-touch-iconpng.235.delayed	(from https://www.mytrailmaps.net/Spearhead-Trails-Mountain-View/)
23:00:17	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/contact	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/contact.236.delayed	(from https://www.mytrailmaps.net/Spearhead-Trails-Mountain-View/)
23:00:17	0/-1	---M--	301	error ('')			https://www.e-junkie.com/apple-touch-iconpng	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.e-junkie.com/apple-touch-iconpng.237.delayed	(from https://www.mytrailmaps.net/Spearhead-Trails-Original-Pocahontas/)
23:00:17	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/contact	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/contact.238.delayed	(from https://www.mytrailmaps.net/Spearhead-Trails-Original-Pocahontas/)
23:00:18	0/-1	---M--	301	error ('')			https://www.e-junkie.com/apple-touch-iconpng	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.e-junkie.com/apple-touch-iconpng.239.delayed	(from https://www.mytrailmaps.net/Spearhead-Trails-Ridgeview-ATV-Trail/)
23:00:18	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/contact	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/contact.23a.delayed	(from https://www.mytrailmaps.net/Spearhead-Trails-Ridgeview-ATV-Trail/)
23:00:18	0/-1	---M--	301	error ('')			https://www.e-junkie.com/apple-touch-iconpng	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.e-junkie.com/apple-touch-iconpng.23b.delayed	(from https://www.mytrailmaps.net/Top-Trails/)
23:00:18	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/contact	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/contact.23c.delayed	(from https://www.mytrailmaps.net/Top-Trails/)
